,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,id
66,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,250547,4,9,3y4LxiYMgDl4RethdzpmNe
67,0.736,0.74,0,-2.18,1,0.0786,0.515,0.0,0.0468,0.803,140.141,221933,4,1,66TRwr5uJwPt15mfFkzhbi
68,0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,220227,4,3,1y4eb6hmAvsqlDOl3fx9kk
69,0.851,0.806,4,-4.618,1,0.0786,0.12,1.33e-06,0.121,0.776,119.001,237200,4,1,0WfKDYeUAoLA3vdvLKKWMW
70,0.603,0.872,5,-5.404,0,0.0792,0.0213,0.0,0.366,0.691,150.104,206373,4,5,4z8ssgZfs5TzKiO8HaGWXO
71,0.761,0.639,5,-7.577,0,0.0539,0.0359,0.0,0.0945,0.922,164.088,219120,4,5,47TqCCnEliDp8NRDyIQoQq
72,0.442,0.793,9,-5.152,1,0.0347,0.0456,0.0,0.328,0.437,80.985,237267,4,3,0PXWpNBYg52gABrn1qL1bD
73,0.662,0.741,0,-5.406,1,0.0334,0.00165,0.0303,0.114,0.404,131.0,188960,4,1,3xrn9i8zhNZsTtcoWgQEAd
74,0.521,0.625,1,-7.47,1,0.067,0.0301,0.0,0.121,0.136,101.019,334067,4,9,0r2Bul2NuCViraT2zX1l5j
75,0.816,0.5,1,-4.551,1,0.03,0.0227,1.53e-06,0.0733,0.649,124.037,247840,4,1,7J41dYQolQJEtj3UmKLu5r
76,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,263373,4,4,15JINEqzVMv3SvJTAXAKED
77,0.666,0.899,8,-4.676,1,0.028,0.00155,0.0,0.0677,0.629,122.05,186267,4,3,1CdqVF1ywD0ZO1zXtB9yWa
78,0.707,0.813,11,-4.515,0,0.0571,0.0863,0.0,0.168,0.722,124.921,238627,4,5,2VOomzT6VavJOGBeySqaMc
79,0.651,0.648,9,-7.44,1,0.0346,0.167,1.7e-05,0.192,0.868,97.017,225667,4,3,5EdlwzcgIAYs2HGvOnczPN
80,0.721,0.867,11,-4.302,1,0.196,0.29,2.87e-06,0.503,0.639,127.033,200013,4,4,7gKIt3rDGIMJDFVSPBnGmj
81,0.554,0.186,1,-15.846,1,0.0379,0.909,0.00144,0.11,0.2,81.181,138640,3,11,7DH5dXVuQaqcKf9oTy9oUN
82,0.847,0.371,7,-13.909,1,0.0659,0.614,3.55e-06,0.0502,0.914,122.638,136838,4,0,3Q51jQuzjEDMTyFX4pT2dK
83,0.322,0.282,2,-12.516,1,0.0301,0.855,1.04e-05,0.163,0.0785,77.47,218933,3,11,7yjAL13BeIaT9BKJZBy8b1
