,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
91,0.824,0.556,0,-10.711,0,0.033,0.146,0.000394,0.0839,0.566,108.858,245640,4,8
92,0.567,0.501,2,-8.038,1,0.0241,0.0995,0.0,0.0986,0.2,142.589,236773,3,11
93,0.69,0.834,0,-5.79,1,0.0566,0.129,0.0,0.136,0.738,127.43,222933,4,1
94,0.834,0.633,4,-11.442,0,0.0422,0.0631,5e-05,0.313,0.904,123.815,224773,4,5
95,0.701,0.601,11,-7.678,0,0.153,0.197,0.0,0.0649,0.564,83.433,258667,4,5
96,0.618,0.916,9,-4.289,1,0.103,0.752,0.0,0.0944,0.961,177.623,153234,4,10
97,0.731,0.807,3,-6.492,0,0.1,0.181,0.751,0.319,0.765,114.759,179120,4,6
98,0.719,0.804,10,-4.581,1,0.0355,0.0132,3.02e-06,0.139,0.605,119.999,227760,4,3
99,0.501,0.695,10,-7.399,1,0.058,0.508,0.0,0.0765,0.593,121.973,246253,4,3
100,0.704,0.834,10,-7.131,0,0.0358,0.0291,0.00492,0.147,0.923,103.555,285373,4,5
101,0.652,0.609,11,-7.519,0,0.037,0.263,0.00101,0.233,0.482,95.986,210200,3,11
102,0.829,0.428,0,-9.469,1,0.0831,0.056,0.00413,0.137,0.45,148.075,299333,4,1
103,0.686,0.442,7,-12.025,1,0.0258,0.637,0.00183,0.0975,0.493,90.009,254773,4,2
104,0.944,0.511,5,-10.96,0,0.161,0.042,0.00107,0.0379,0.842,113.046,203787,4,5
105,0.477,0.231,2,-11.842,0,0.0259,0.857,0.497,0.0638,0.246,98.226,176760,4,6
106,0.375,0.862,11,-3.363,0,0.255,0.071,0.0,0.211,0.478,159.841,338853,4,4
107,0.813,0.949,3,-2.563,0,0.0336,0.486,9.75e-06,0.112,0.792,115.061,227707,4,5
108,0.815,0.606,7,-9.733,1,0.115,0.571,0.0,0.13,0.883,130.45,145973,4,0
109,0.31,0.279,5,-13.552,1,0.0308,0.815,0.0,0.318,0.377,79.397,256120,3,11
110,0.551,0.628,2,-13.799,1,0.036,0.0336,0.000194,0.151,0.777,142.167,212893,4,1
111,0.643,0.491,4,-9.312,1,0.0344,0.642,0.00972,0.286,0.753,126.399,194600,4,0
112,0.491,0.956,11,-1.538,1,0.392,0.0295,0.0,0.46,0.811,173.585,276920,4,4
113,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,182307,4,3
114,0.557,0.533,10,-6.817,0,0.0252,0.0492,0.0,0.205,0.233,143.994,238733,4,8
115,0.846,0.472,1,-6.708,0,0.142,0.0269,0.0,0.388,0.239,101.005,230960,4,5
116,0.391,0.883,7,-5.973,1,0.0442,0.264,0.0,0.157,0.927,75.442,141333,4,3
117,0.792,0.533,9,-13.277,0,0.0361,0.0758,3.34e-06,0.192,0.965,127.5,308067,4,5
118,0.519,0.446,5,-9.287,1,0.0388,0.813,0.000124,0.11,0.654,104.962,184493,4,0
119,0.74,0.598,7,-9.658,0,0.0321,0.15,0.0,0.0664,0.952,101.933,276000,4,5
120,0.416,0.707,0,-11.573,1,0.144,0.347,0.0,0.708,0.691,198.612,119160,4,7
121,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,235213,4,5
122,0.787,0.527,1,-6.981,1,0.0512,0.0615,0.0,0.0656,0.807,133.107,187733,4,1
123,0.659,0.364,11,-9.174,1,0.0317,0.559,0.0,0.129,0.231,129.776,262667,4,9
124,0.696,0.783,1,-6.341,0,0.0291,0.014,0.000101,0.0794,0.768,109.183,209400,4,5
125,0.812,0.526,10,-15.523,0,0.0492,0.0544,0.00159,0.0362,0.843,117.525,234160,4,8
126,0.711,0.362,3,-10.851,0,0.0381,0.272,0.0,0.127,0.616,117.287,194293,4,8
127,0.802,0.828,4,-6.366,0,0.0426,0.0127,0.0683,0.0293,0.946,97.01,189787,4,5
128,0.902,0.72,6,-2.776,0,0.347,0.26,0.0,0.0749,0.805,90.059,193467,4,4
129,0.825,0.475,1,-9.242,1,0.0342,0.535,0.00932,0.0836,0.727,117.39,254213,4,1
130,0.672,0.819,11,-4.457,1,0.0463,0.0362,0.000196,0.182,0.445,120.009,278573,4,3
131,0.809,0.562,11,-7.694,0,0.0534,0.0816,0.000418,0.105,0.798,130.003,194347,4,5
132,0.462,0.629,4,-11.963,0,0.0294,0.149,0.000194,0.202,0.675,131.062,418387,4,8
133,0.659,0.541,5,-7.919,1,0.0272,0.0174,0.0,0.198,0.56,116.685,224693,4,3
134,0.727,0.552,2,-8.074,0,0.14,0.227,0.000164,0.198,0.607,168.189,289160,4,5
135,0.694,0.968,6,-3.803,1,0.155,0.0296,0.0,0.0493,0.73,126.616,281120,4,3
136,0.655,0.488,1,-9.17,1,0.22,0.0825,1.16e-06,0.221,0.791,91.025,244827,4,4
137,0.37,0.43,1,-9.591,1,0.0268,0.521,0.0,0.101,0.406,94.545,223360,4,2
